tasa
2.62
2.23
2.23
2.09
2.45
2.44
2.5
2.79
2.94
3.06
3.01
3.01
2.84
2.72
2.78
3.13
3.67
3.81
4.21
4.06
4.11
4.29
4.48
5.05
5.54
5.51
5.82
6.37
6.57
6.61
6.78
6.95
6.88
6.7
6.82
6.48
7.42
7.03
7.12
7.06
6.82
6.74
7
8.31
9.69
9.57
9.29
9.62
8.76
7.98
8.03
8.04
9.66
13.01
11.78
10.19
10.84
11.87
16.32
16.11
14.23
11.63
11.68
11.82
11.8
12.01
11.95
11.81
11.36
11.03
10.39
9.53
9.45
9.25
9.11
8.91
8.78
9
9.16
9.25
9.27
9.17
9.04
9.63
9.66
9.49
9.48
9.41
9.58
9.65
9.68
10.12
10.55
12.04
13.79
14.71
12.64
12.33
11.79
11.29
11.32
11.2
11.45
11.77
12.08
12.29
12.31
13.83
13.04
13.22
13.65
13.85
14.68
15.16
14.82
15.34
15.4
15.63
15.67
17.8
18.97
21.15
21.71
21.89
21.46
21.05
20.3
19.76
19.21
19.56
19.92
20.06
18.81
20.02
20.09
20.56
20.32
20.47
20.31
20.84
21.21
21.5
23.32
26.58
25.42
24.81
27.47
28.03
28.64
27.28
24.87
23.5
21.72
20.8
19.86
18.95
18.57
18.54
18.16
17.71
18.13
18.23
18.45
18.85
19.28
19.74
20.78
21.55
21.56
21.41
20.78
20.8
24.47
26.71
32.58
32.58
39.22
47.99
48.59
46.38
44.85
37.62
39.17
46.38
50.45
49.93
47.48
53.09
57.92
54.22
45.41
40.92
